PAQ-001;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;;2022;
P.N.H;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003
ENERO;14 771;12 683;2 088;15 922;12 444;3 478;19 938;15 361;4 577;21 879;17 639;4 240;28 105;23 783;4 322;26 323;21 524;4 799;14 954;14 782;172;26 358;16 587;9 771
FEBRERO;13 614;11 886;1 728;14 503;11 535;2 968;13 840;10 392;3 448;20 300;16 158;4 142;19 901;15 325;4 576;28 054;23 633;4 421;0;0;0;13 687;12 630;1 057
MARZO;7 283;5 058;2 225;24 378;20 271;4 107;6 314;4 384;1 930;33 191;28 305;4 886;15 531;10 585;4 946;11 347;9 965;1 382;4 263;4 233;30;8 952;7 505;1 447
ABRIL;22 598;19 167;3 431;8 980;4 507;4 473;15 788;12 110;3 678;15 658;6 109;9 549;42 036;34 853;7 183;0;0;0;5 077;4 962;115;20 610;18 250;2 360
MAYO;20 074 ;15 486;4 588;15 191;8 867;6 324;18 098;10 457;7 641;21 736;12 926;8 810;26 445;17 714;8 731;0;0;0;12 056;11 801;255;18 747;14 689;4 058
JUNIO;19 487;14 070;5 417;15 984;7 990;7 994;19 365;10 981;8 384;22 499;12 993;9 506;28 193;15 699;12 494;0;0;0;13 538;12 987;551;14 768;10 345;4 423
JULIO;43 967;36 945;7 022;50 777;42 171;8 606;62 179;50 933;11 246;58 510;46 151;12 359;69 091;57 815;11 276;0;0;0;45 273;44 394;879;39 131;33 118;6 013
AGOSTO;36 159;29 707;6 452;33 997;25 403;8 594;50 079;36 408;13 671;63 933;52 622;11 311;63 116;53 862;9 254;0;0;0;54 824;51 973;2 851;36 345;30 568;5 777
SETIEMBRE;23 663;18 156;5 507;18 082;11 736;6 346;20 523;13 419;7 104;37 522;27 930;9 592;33 009;25 038;7 971;0;0;0;19 445;17 599;1 846;20 629;14 844;5 785
OCTUBRE;27 707;23 461;4 246;26 734;21 568;5 166;22 612;16 165;6 447;30 123;22 784;7 339;33 607;30 140;3 467;7 546;6 339;1 207;29 054;27 140;1 914;22 010;17 205;4 805
NOVIEMBRE;10 737;7 204;3 533;25 284;20 680;4 604;20 016;6 622 ;13 394;29 405;23 847;5 558;29 080 ;24 617;4 463;15 940;15 833;107;14 887;13 269;1 618;13 978;10 911;3 067
DICIEMBRE;9 100;6 366;2 734;11 319;7 715;3 604;14 617;10 364;4 253;23 684;14 647;9 037;17 474;12 856;4 618;9 753;9 517;236;8 736;7 933;803;9 856;8 164;1 692
TOTAL;249 160;200 189;48 971;261 151;194 887;66 264;283 369;197 596;85 773;378 440 ;282 111;96 329;405 588;322 287;83 301;98 963;86 811;12 152;222 107;211 073;11 034;245 071;194 816;50 255
PAQ-002;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;;2022;
CHAV.HUA.;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003
ENERO;4 778;4 246;532;5 247;4 646;601;5 133;4 717;416;5 897;5 396;501;7 186;6 688;498;6 297;5 867;430;1 217;1 199;18;6 169;6 093;76
FEBRERO;3 430;3 065;365;4 426;4 034;392;3 850;3 339;511;5 733;5 336;397;4 175;3 810;365;7 600;7 140;460;0;0;0;5 503;5 396;107
MARZO;2 125;1 681;444;5 937;5 455;482;1 904;1 582;322;7 603;7 103;500;2 983;2 488;495;2 488;2 262;226;0;0;0;2 992;2 892;100
ABRIL;4 806;4 251;555;2 280;1 780;500;5 065;4 718;347;4 196;3 730;466;8 474;7 920;554;0;0;0;200;187;13;7 998;7 809;189
MAYO;4 633;3 793;840;4 345;3 597;748;3 416;2 809;607;4 479;3 853;626;4 598;4 009;589;0;0;0;1 352;1 315;37;6 199;5 903;296
